no	Question	Response	Context
1	부모님이 임플란트 시술을 하였으며, 임플란트 시술 전에 치조골 이식 수술을 받았습니다. 수술특약으로 치조골 이식 수술에 대한 보험금을 신청하려 하는 데 치조골 이식수술에 대한 보험금 지급관련 판례를 보여 주세요.	제공된 context에는 **치조골 이식수술(임플란트 전 치조골 이식)**에 대한 보험금 지급 관련 판례가 없습니다.\n\n근거를 보면,\n- 판례로 제공된 문서는 **「018-대구고등법원 2005. 9. 27. 선고 2004나3957(본소),2004나3964(반소) 판결」**의 **「1. 기초사실」**, **「(2) 원고의 변제공탁 등 주장에 대한 판단」**, **「【주문】」** 부분인데, 내용은 **교통사고·재해장해연금·사망간주·변제공탁·상계** 등에 관한 것으로, 치조골 이식수술이나 임플란트 관련 판단이 아닙니다.\n- 약관으로 제공된 **「판매약관_신한큐브종합건강상해보험_230404」**, **「판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404」**의 **「제2관 보험금의 지급 > 제3조 보험금의 지급사유」**도 재해골절, 깁스치료, 십자인대 수술, 반월판 연골 수술, 인공관절치환 수술 등에 관한 내용만 있고, **치조골 이식수술** 관련 조항은 확인되지 않습니다.\n\n따라서 이 context만으로는 **치조골 이식수술 보험금 지급 관련 판례를 제시할 수 없습니다.**  \n치조골 이식수술 관련 판례 문서나, 가입하신 **수술특약 약관상 ‘수술’ 정의 및 치과·치조골 관련 면책/보장 조항**이 추가로 필요합니다.	018-대구고등법원 2005. 9. 27. 선고 2004나3957(본소),2004나3964(반소) 판결.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md
2	자살을 하였을 경우, 보험금을 받을 수 있는 경우가 있던데 관련하여 판례가 있나요?	ERROR: HTTPError: 502 Server Error: Bad Gateway for url: http://127.0.0.1:8000/chat	
3	보험계약을 신청하였는데, 철회하고 싶습니다. 세부 기준을 알려 주세요	ERROR: HTTPError: 502 Server Error: Bad Gateway for url: http://127.0.0.1:8000/chat	
4	보험에 가입했는데 언제부터 보장을 받는 건가요?	일반적으로는 **회사가 청약을 승낙하고 제1회 보험료를 받은 때부터** 보장이 시작됩니다.  \n다만, **청약과 함께 제1회 보험료를 먼저 낸 경우에는 회사 승낙 전이라도 제1회 보험료를 받은 때부터** 보장이 개시됩니다.\n\n공통적으로 여러 약관에서 보장개시일은 다음과 같이 설명됩니다.\n- `002-_무_종신보험표준형_20210101_약관.md > 제23조(제1회 보험료 및 회사의 보장개시)`\n- `004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md > 제23조 제1회 보험료 및 회사의 보장개시##`\n- `032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md > [  보장개시일 ]`\n\n추가로 문서에 따르면:\n- **자동이체/신용카드 납입**은 필요한 정보를 제공한 때를 제1회 보험료를 받은 때로 봅니다.\n- 다만 **계약자 책임으로 자동이체나 카드승인이 되지 않으면 보험료가 납입되지 않은 것으로 봅니다.**\n\n조건부 예외:\n- 일부 **특약**은 주계약과 같지 않을 수 있습니다.  \n  예를 들어 `034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md > 제2조 【 특약의 보장개시일 】`, `제7조 【 보험료의 납입 및 특약의 보장개시일 】`에서는 **암 관련 급부는 보험계약일부터 90일이 지난 날의 다음날**부터 보장된다고 되어 있습니다.	002-_무_종신보험표준형_20210101_약관.md, 004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md
5	2021년 4월 5일에 가입한 종신보험 표준형에 납입한 보험료가 몇 %로 부리되고 있나요?	2021년 4월 5일 가입한 **종신보험 표준형**의 납입보험료 부리이율로 볼 수 있는 근거는 `001-(무)종신보험표준형_20210101_산출방법서.doc-1.md`의 `1. 적용기초율에 관한 사항 > 1.1. 적용이율()에 관한 사항`이며, 여기에는 **연복리 1.95%**라고 되어 있습니다.\n\n다만, 제공된 근거에는 **“2021년 4월 5일 가입분에 실제 적용되는 부리이율”**이라고 날짜까지 직접 연결한 문구는 없고, **2021-01-01 산출방법서의 종신보험표준형 적용이율이 연복리 1.95%**로 제시되어 있습니다.	023-무배당종신보험_사업방법서_060401.doc-1.md, 029-사업방법서__무_신한유니버설종신보험_080312.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 024-무배당종신보험표준형_산출방법서_060401.doc-1.md
6	2010년 가입한 종신보험 표준형 계약에서 사망보장을 못받는 때가 있나요?	제공된 근거만으로는 **2010년 가입한 종신보험 표준형 계약에서 사망보장을 못 받는 경우**를 확인할 수 없습니다.\n\n근거:\n- `002-_무_종신보험표준형_20210101_약관.md > 무배당 종신보험 표준형 약관`에는 목차만 있어, 질문에 필요한 **제5조(보험금 등을 지급하지 않는 사유)**의 실제 내용이 없습니다.\n- 다른 문서들(`034-약관_(무)신한유니버설종신보험...`, `023-무배당종신보험_사업방법서...`, `011-계약사항 변경 업무기준...`)은 전환, 가입나이, 할인 등 내용으로, **사망보험금을 지급하지 않는 사유**를 직접 보여주지 않습니다.\n\n따라서 이 질문에 답하려면 최소한\n- **2010년 당시 해당 상품의 약관**\n- 특히 **보험금 지급사유**, **보험금 등을 지급하지 않는 사유**, **보장개시** 관련 조항\n이 포함된 본문이 추가로 필요합니다.	002-_무_종신보험표준형_20210101_약관.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md
7	종신보험 표준형에 가입하여 은행에 다니는 직장인인데 보험가입할 때 보니 제가 전문보험계약자라 합니다. 일반계약자가 아니라 전문보험계약자라 하는 근거가 뭔가요?	질문에 제공된 근거만 보면, 귀하가 **전문보험계약자**로 분류될 수 있는 법적 근거는 다음과 같습니다.\n\n- **「027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md > 보험업법 제2조(정의) 19호」**에 따르면,  \n  전문보험계약자는 “보험계약에 관한 전문성, 자산규모 등에 비추어 보험계약의 내용을 이해하고 이행할 능력이 있는 자”로서,  \n  **국가, 한국은행, 대통령령으로 정하는 금융기관, 주권상장법인, 그 밖에 대통령령으로 정하는 자** 등에 해당하는 자입니다.  \n  반대로 **일반보험계약자**는 전문보험계약자가 아닌 보험계약자입니다.\n\n- 또 **같은 문서의 「보험업감독규정 제1-4조의2(전문보험계약자의 범위)」**에서는  \n  대통령령상 “금융위원회가 정하여 고시하는 자”의 범위로  \n  **기업성 보험계약을 체결하고자 하는 자**, **퇴직연금계약을 체결하고자 하는 자**, **공공기관**, **지방공기업**, 일정 요건의 **단체보험계약을 체결하고자 하는 자** 등을 들고 있습니다.\n\n다만, 질문하신 **“은행에 다니는 직장인이라서 왜 전문보험계약자인가”**에 대해서는,  \n제공된 근거만으로는 **귀하 개인이 어떤 항목에 해당해 전문보험계약자로 분류되었는지까지는 확인할 수 없습니다.**  \n즉, 문서상 전문보험계약자의 법적 범위는 확인되지만, **은행 재직자 개인이 자동으로 전문보험계약자가 되는지**, 또는 **어떤 구체 사유로 그렇게 처리되었는지**는 이 자료만으로는 알 수 없습니다.\n\n참고로 **「보험업법 제2조(정의) 19호」**에 따르면, 전문보험계약자 중 대통령령으로 정하는 자는 **일반보험계약자와 같은 대우를 받겠다는 의사를 보험회사에 서면 통지**할 수 있고, 보험회사가 동의하면 **일반보험계약자로 봅니다.**	032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md, 002-_무_종신보험표준형_20210101_약관.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md
8	2021년 4월 5일에 가입한 종신보험 표준형 해약환급금이 납입한 보험료보다 적게 나왔습니다. 산출 근거가 무엇인가요?	제공된 근거만으로는 2021년 4월 5일 가입 건의 **실제 해약환급금 산출식 전체**나 **개별 계약에 적용된 수치**까지는 확인할 수 없습니다. 다만, `001-(무)종신보험표준형_20210101_산출방법서.doc-1.md`의 다음 섹션들에 따르면, 종신보험 표준형의 해약환급금이 납입보험료보다 적을 수 있는 근거는 확인됩니다.\n\n- `나. 비일시납` 섹션: 해약환급금 계산 시 **해지공제금액**이 반영되며, 문서에 “보험료 납입이 면제된 경우에는 해지공제금액은 0”이라는 조건이 있습니다. 즉, 일반적인 비일시납 계약은 해약 시 공제가 들어갈 수 있습니다.\n- 같은 문서의 `나. 비일시납` 사업비 표: 비일시납 계약에는  \n  - **계약체결비용**: 초년도 보험가입금액 기준 `(α1) 5/1,000`, 초년도 월납 영업보험료 기준 `(α2) 95% / 120% / 120%`  \n  - **계약관리비용**: `(β1) 매년 보험가입금액 0.5/1,000`, `(β2) 영업보험료 13% / 14% / 16%`, `(β’) 매년 보험가입금액 0.25/1,000`, `(β5) 영업보험료 2.5%`\n  가 적용되는 것으로 되어 있습니다.\n- 같은 문서의 `④ 기준연령 요건에서 계약체결비용과 표준해약공제액의 비교` 섹션에서는, 예시로 **종신·70세납·45세** 기준 **계약체결비용 4,546원**, **표준해약공제액 3,871원**, **초과**로 기재되어 있고, 여기서 “초과”는 감독규정상 **계약체결비용이 표준해약공제액을 초과한 경우**라고 설명합니다.\n\n따라서 문서상으로는 **해약환급금이 납입보험료보다 적게 나올 수 있는 산출 근거가 계약체결비용, 계약관리비용, 해지공제금액 반영에 있다**고 볼 수 있습니다.\n\n다만 부족한 점:\n- `002-_무_종신보험표준형_20210101_약관.md`는 목차만 있어 `제32조(해지환급금)`의 본문 내용이 없습니다.\n- 질문하신 **2021년 4월 5일 가입 계약의 납입기간, 가입나이, 납입주기, 보험가입금액, 실제 적용된 공제액**이 없어 개별 계약의 정확한 계산 근거는 확인할 수 없습니다.	001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 002-_무_종신보험표준형_20210101_약관.md, 023-무배당종신보험_사업방법서_060401.doc-1.md
9	어머니께서 2010년에 종신보험 표준형에 가입하셨는데, 치매 검사를 했더니 치매가 약간 있다고 합니다. CDR척도 검사시 2점을 받았습니다. 치매 진단으로 장해보험금을 받을 수 있나요? 얼마를 받나요?	제공된 근거만 보면, **`별첨2_분류표_20240401_v1.3.pdf.md > 13. 신경계․정신행동 장해 > 가. 장해의 분류`**에서 **“약간의 치매 : CDR 척도 2점 = 지급률 40”**이라고 되어 있습니다. 따라서 **CDR 2점에 해당하는 장해 분류상 지급률은 40%**로 보입니다.\n\n다만, 질문하신 **“2010년에 가입한 종신보험 표준형에 실제로 이 분류표가 적용되는지**, 그리고 **장해보험금 얼마를 받는지(가입금액/장해보험금 기준액이 얼마인지)**에 대한 정보는 제공된 context에 없습니다.  \n즉,\n\n- **가능 여부**: 현재 근거만으로는 해당 계약에 이 기준이 적용되는지 확인할 수 없어 단정할 수 없습니다.\n- **금액**: 지급률 40%라는 기준만 있을 뿐, **계약의 장해보험금 기준금액**이 없어 계산할 수 없습니다.\n\n확인 가능한 범위만 말하면: **CDR 2점은 분류표상 ‘약간의 치매’로 지급률 40%**입니다.	판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 별첨2_분류표_20240401_v1.3.pdf.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md
10	신한유니버설종신보험 월대체공제 기준은 어떻게 되나요?	무배당 신한유니버설종신보험의 월대체공제 기준은 사업방법서 `029-사업방법서__무_신한유니버설종신보험_080312.md`의 `다.사망보험금## > 6. 월대체보험료에 관한 사항`에 따르면 다음과 같습니다.\n\n- **일시납**\n  - 해당월의 **위험보험료 + 부가보험료 합계액**을\n  - **매월 계약해당일에 해약환급금(보험계약대출 원리금 차감 후 금액)**에서 공제합니다.\n\n- **월납: 보험료 납입경과기간 2년(24회 납입) 이내**\n  - 해당월의 **위험보험료 + 부가보험료 + 특약보험료(특약 부가 시)** 합계액을\n  - **해당월 기본보험료 납입 시 공제**합니다.\n  - 단, **해당월 계약해당일 이전에 납입하면 해당월 계약해당일에 계약자적립금에서 공제**합니다.\n\n- **월납: 보험료 납입경과기간 2년(24회 납입) 경과 후**\n  - 해당월의 **위험보험료 + 부가보험료(수금비 제외) + 특약보험료(수금비 제외, 특약 부가 시)** 합계액을\n  - **매월 계약해당일에 해약환급금(보험계약대출원리금 차감 후 금액)**에서 공제합니다.\n  - 단, **수금비는 기본보험료(특약 부가 시 특약보험료 포함) 납입 시 공제**합니다.\n\n추가로 같은 문서의 `다.사망보험금## > 7. 월납계약의 보험료 납입에 관한 사항`에 따르면,\n- **월납계약은 2년(24회 납입) 이후 해약환급금에서 월대체보험료를 충당할 수 있으면 기본보험료를 납입하지 않을 수도 있습니다.**\n\n즉, 핵심 기준은 **납입방식(일시납/월납)**과 **월납의 경우 24회 납입 전후**에 따라 공제 항목과 공제 방식이 달라진다는 점입니다.	029-사업방법서__무_신한유니버설종신보험_080312.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md
