no	Question	Response	Context
1	부모님이 임플란트 시술을 하였으며, 임플란트 시술 전에 치조골 이식 수술을 받았습니다. 수술특약으로 치조골 이식 수술에 대한 보험금을 신청하려 하는 데 치조골 이식수술에 대한 보험금 지급관련 판례를 보여 주세요.	치조골 이식 수술에 대한 보험금 지급 관련 판례에 대한 정보는 제공된 컨텍스트에서 확인할 수 없습니다. 추가적인 자료가 필요합니다.	022-대법원 2023. 5. 18. 선고 2022다238800 판결.pdf-1.md, 021-대법원 2021. 2. 4. 선고 2017다281367 판결.pdf-1.md, 019-대법원 1991. 2. 22. 선고 90다11806 판결.pdf-1.md, 020-대법원 2011. 4. 28. 선고 2009다97772 판결.pdf-1.md, 별첨2_분류표_20240401_v1.3.pdf.md, 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md
2	자살을 하였을 경우, 보험금을 받을 수 있는 경우가 있던데 관련하여 판례가 있나요?	자살과 관련하여 보험금 지급 가능성에 대한 판례가 있습니다. 대법원 2009다97772 판결에 따르면, 상법 제659조 제1항 및 제732조의2에 따라 피보험자가 고의로 자살한 경우 보험자는 보험금을 지급할 책임이 없다고 규정하고 있습니다. 그러나 피보험자가 정신질환 등으로 자유로운 의사결정을 할 수 없는 상태에서 자살한 경우는 면책사유에 해당하지 않는다고 판단합니다. 이와 관련하여 자살자의 정신적 상태, 자살 당시의 상황 등을 종합적으로 고려하여 판단해야 한다는 기준을 제시하고 있습니다.  \n\n또한, 보험 약관에 따라 보장개시일로부터 2년이 지난 후 자살한 경우에는 보험금을 지급한다는 조건이 명시된 사례도 있습니다(예: 신한큐브종합건강상해보험 약관).	020-대법원 2011. 4. 28. 선고 2009다97772 판결.pdf-1.md, 021-대법원 2021. 2. 4. 선고 2017다281367 판결.pdf-1.md, 022-대법원 2023. 5. 18. 선고 2022다238800 판결.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md, 005-005.약관_신한라이프놀라운종신보험(무배당, 해약환급금 일부지급형)_20240401_v0.5_중복삭제_맞춤형약관제작.pdf-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md
3	보험계약을 신청하였는데, 철회하고 싶습니다. 세부 기준을 알려 주세요	"보험계약 철회는 다음 기준에 따라 가능합니다:  \n\n1. **청약 철회 가능 기간**  \n   - 일반적으로 계약자는 보험증권을 받은 날부터 15일 이내에 청약을 철회할 수 있습니다.  \n   - 통신판매 계약(전화, 우편, 컴퓨터 등의 통신매체를 통한 계약)의 경우, 청약한 날부터 30일 이내에 철회가 가능합니다.  \n   - 만 65세 이상 계약자가 체결한 통신판매 계약의 경우, 청약 철회 가능 기간은 45일로 연장됩니다.  \n\n2. **보험료 반환**  \n   - 청약 철회 시 회사는 청약 철회를 접수한 날부터 3일 이내에 이미 납입한 보험료를 돌려드립니다.  \n   - 신용카드로 납입한 보험료는 매출 취소를 통해 반환되며, 이자는 지급되지 않습니다.  \n\n3. **청약 철회 불가 조건**  \n   - 보험금 지급 사유가 이미 발생했으나 계약자가 그 사실을 알지 못한 경우, 청약 철회의 효력이 발생하지 않습니다.  \n   - 보험기간이 90일 이내인 계약 또는 전문금융소비자가 체결한 계약은 청약 철회가 불가능합니다.  \n\n출처:  \n- ""약관_무배당연금보험프리스타일"" 제2조(청약의 철회)  \n- ""주계약약관_(355간편)신한통합건강보장보험원(ONE)"" 제17조 청약의 철회  \n- ""약관_신한진심을품은변액유니버설종신보험"" 사례2"	037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md, 006-300060_고객센터 청약철회 업무처리기준.docx-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md
4	보험에 가입했는데 언제부터 보장을 받는 건가요?	보험의 보장 개시일은 일반적으로 계약이 성립되고 제1회 보험료를 받은 날부터 시작됩니다. 다만, 회사가 청약과 함께 제1회 보험료를 받은 경우에는 제1회 보험료를 받은 날이 보장 개시일이 됩니다. (출처: 002-(무)종신보험표준형_20210101_약관.pdf-1.md, [보장개시일])	033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 005-005.약관_신한라이프놀라운종신보험(무배당, 해약환급금 일부지급형)_20240401_v0.5_중복삭제_맞춤형약관제작.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md
5	2021년 4월 5일에 가입한 종신보험 표준형에 납입한 보험료가 몇 %로 부리되고 있나요?	제공된 문서들에서는 2021년 4월 5일에 가입한 무배당 종신보험 표준형의 부리율에 대한 정보가 명시적으로 포함되어 있지 않습니다. 추가적인 정보를 확인해야 정확한 답변이 가능합니다.	002-(무)종신보험표준형_20210101_약관.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 별첨2_분류표_20240401_v1.3.pdf.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md
6	2010년 가입한 종신보험 표준형 계약에서 사망보장을 못받는 때가 있나요?	제공된 컨텍스트에는 2010년 가입한 종신보험 표준형 계약에서 사망보장을 받을 수 없는 조건이나 상황에 대한 명확한 정보가 포함되어 있지 않습니다. 추가적인 세부 약관이나 관련 문서가 필요합니다.	002-(무)종신보험표준형_20210101_약관.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md
7	종신보험 표준형에 가입하여 은행에 다니는 직장인인데 보험가입할 때 보니 제가 전문보험계약자라 합니다. 일반계약자가 아니라 전문보험계약자라 하는 근거가 뭔가요?	보험업법 제2조(정의) 19호에 따르면, '전문보험계약자'는 보험계약에 관한 전문성, 자산규모 등을 고려하여 보험계약 내용을 이해하고 이행할 능력이 있는 자로 정의됩니다. 전문보험계약자는 국가, 한국은행, 대통령령으로 정하는 금융기관, 주권상장법인, 그 밖에 대통령령으로 정하는 자를 포함합니다. 따라서 귀하가 전문보험계약자로 분류된 것은 이러한 기준에 부합하기 때문일 가능성이 있습니다.	002-(무)종신보험표준형_20210101_약관.pdf-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md
8	2021년 4월 5일에 가입한 종신보험 표준형 해약환급금이 납입한 보험료보다 적게 나왔습니다. 산출 근거가 무엇인가요?	제공된 문서 내용에는 종신보험 표준형의 해약환급금이 납입한 보험료보다 적게 산출되는 이유나 구체적인 산출 근거에 대한 정보가 포함되어 있지 않습니다. 추가적인 문서나 정보가 필요합니다.	002-(무)종신보험표준형_20210101_약관.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md
9	어머니께서 2010년에 종신보험 표준형에 가입하셨는데, 치매 검사를 했더니 치매가 약간 있다고 합니다. CDR척도 검사시 2점을 받았습니다. 치매 진단으로 장해보험금을 받을 수 있나요? 얼마를 받나요?	"어머니께서 CDR 척도 검사에서 2점을 받으셨다면, 이는 ""약간의 치매""로 분류되며, 장해보험금 지급률은 40%입니다. 해당 내용은 문서 ""별첨2_분류표_20240401_v1.3.pdf.md""의 ""신경계․정신행동 장해 > 가. 장해의 분류"" 섹션에서 확인되었습니다."	판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 별첨2_분류표_20240401_v1.3.pdf.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md
10	신한유니버설종신보험 월대체공제 기준은 어떻게 되나요?	제공된 컨텍스트에는 신한유니버설종신보험의 월대체공제 기준에 대한 정보가 포함되어 있지 않습니다. 추가 정보를 확인해야 합니다.	026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md
