No	Question
1	부모님이 임플란트 시술을 하였으며, 임플란트 시술 전에 치조골 이식 수술을 받았습니다. 수술특약으로 치조골 이식 수술에 대한 보험금을 신청하려 하는 데 치조골 이식수술에 대한 보험금 지급관련 판례를 보여 주세요.
2	자살을 하였을 경우, 보험금을 받을 수 있는 경우가 있던데 관련하여 판례가 있나요?
3	보험계약을 신청하였는데, 철회하고 싶습니다. 세부 기준을 알려 주세요
4	보험에 가입했는데 언제부터 보장을 받는 건가요?
5	2021년 4월 5일에 가입한 종신보험 표준형에 납입한 보험료가 몇 %로 부리되고 있나요?
6	2010년 가입한 종신보험 표준형 계약에서 사망보장을 못받는 때가 있나요?
7	종신보험 표준형에 가입하여 은행에 다니는 직장인인데 보험가입할 때 보니 제가 전문보험계약자라 합니다. 일반계약자가 아니라 전문보험계약자라 하는 근거가 뭔가요?
8	2021년 4월 5일에 가입한 종신보험 표준형 해약환급금이 납입한 보험료보다 적게 나왔습니다. 산출 근거가 무엇인가요?
9	어머니께서 2010년에 종신보험 표준형에 가입하셨는데, 치매 검사를 했더니 치매가 약간 있다고 합니다. CDR척도 검사시 2점을 받았습니다. 치매 진단으로 장해보험금을 받을 수 있나요? 얼마를 받나요?
10	신한유니버설종신보험 월대체공제 기준은 어떻게 되나요?
11	신한유니버설종신보험 현재 납입하는 보험료가 부담됩니다.  보험료를 적게 낼 수 있는 방법이 있나요?
12	신한유니버설종신보험 가입후 월대체로 계약을 유지하는데 보장은 종신까지 받을 수 있나요?
13	신한유니버설종신보험 주계약보험료를 처음에는 20만원 내다가 나중에 더 적게 낼 수 있나요?
14	신한유니버설종신보험에서 사망시 사망보험금은 어떻게 산출됩니까?
15	신한유니버설종신보험 해약환급금이 처음 가입시 제공한 해약환급금 예시표에 비하여 크게 떨어집니다.  이유가 무엇인가요?
16	신한유니버설종신보험에 가입하여 유지중입니다. 감액 이후에 이미납입한 보험료는 어떻게 산출하나요?
17	신한유니버설종신보험 해약환급금 신청하여 환급금이 발생하였으나 아직 청구하지 않은 상황입니다. 일정기간이 지나서 청구하는 경우 지급이자는 어떻게 계산이 되나요?
18	신한유니버설종신보험 보험료 의무 납입기간 경과 이후에도 보험료 선납이 가능한가요? 만약에 가능하다면 선납가능한 보험료와 선납시 적용되는 이율을 알려주세요.
19	연금보험 프리스타일에 가입하여 연금개시후 종신형 연금 보증지급기간 안에 피보험자가 사망하면 일시금 지급이 가능한가요?
20	연금보험 프리스타일은 생존연금액 계산시 이율은 얼마인가요?
21	연금보험 프리스타일에서 말하는 추가납입은 무엇을 의미하고 언제부터 추가납입이 가능하고 보험기간은 어떻게 되나요?
22	무)파워변액유니버설종신보험에서 자산을 운용함에 있어 일반계정과 특별계정으로 나누어서 관리한다고 하는데, 무슨뜻인가요?
23	무)파워변액유니버설종신보험 변액상품을 가입하였는데 펀드 설정이 귀찮습니다. 알아서 하는 방법은 없나요?
24	무)파워변액유니버설상품을 가입하였는데, 사망한 경우는 보험금을 주나요?
25	신한THE착한연금미리받을수있는종신보험 현재 공제되는 위험보험료를 알려주세요
26	신한THE착한연금미리받을수있는종신보험에서 보험료 납입기간 중에 해지하면 환급금이 적은데 이유가 뭔가요?
27	신한THE착한연금미리받을수있는종신보험 보험료 납입하다가 연금으로 전환이 되는것으로 아는데 연금전환하면 전환 후의 약관 및 요율을 적용하는거 맞지요?
28	무배당 종신보험 표준형 15년납 2006년에 가입하여, 완납된 상태입니다. 이후에도 공제되는 사업비가 있나요?
29	무배당 종신보험 표준형으로 현재 실효가 된 상태입니다. 부활시 부활이자는 어떻게 되나요?
30	무배당 종신보험 표준형 가입한 고객입니다. 선납시 보험료 할인이 있나요?
31	신한진심을품은변액유니버설종신을 연금으로 전환시 연금액은 어떻게 산출이 되나요?
32	신한진심을품은변액유니버설종신에서 중도인출시 언제 지급되나요?
33	신한진심을품은변액유니버설종신에서 의무납입기간 2년이후 보험료 납입을 하지 않을경우 공제되는 보험료는 어떻게 되나요?
34	S-MORE신한저축보험에서 납입일시중지를 신청하면 빠지는 보험료가 있나요?
35	S-MORE신한저축보험 적립액 인출시 조건이 어떻게 되나요?
36	S-MORE신한저축보험 가입하고 사망보험금을 수령하지 않은 상태입니다. 이자는 계속 발생하는지요?
37	신한큐브종합건강상해보험 가입후 주피보험자 사망할 경우 주계약 보장내용알려주세요. 그리고 주피 장해시 납입면제 기준은 무엇인가요?
38	신한큐브종합건강상해보험 가입했는데 6년 유지하다가 해지하게되면 어떻게되는지 해약환급금 기준이랑 산출식, 산출근거는 어떻게 되나요?
