no	Question	Response	Context
1	부모님이 임플란트 시술을 하였으며, 임플란트 시술 전에 치조골 이식 수술을 받았습니다. 수술특약으로 치조골 이식 수술에 대한 보험금을 신청하려 하는 데 치조골 이식수술에 대한 보험금 지급관련 판례를 보여 주세요.	STATUS: insufficient\n\n제공된 context에는 **임플란트 시술 전 치조골 이식수술의 수술특약 보험금 지급 여부와 관련된 판례**가 포함되어 있지 않습니다.\n\n확인된 내용:\n- `판매약관_신한큐브종합건강상해보험_230404.pdf.md` > `제2관 보험금의 지급 > 제3조 보험금의 지급사유`\n- `판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md` > `제2관 보험금의 지급 > 제3조 보험금의 지급사유`\n  - 위 문서들은 특정 질환·수술(예: 십자인대 수술, 반월판 연골 수술 등)에 대한 보험금 지급사유를 설명하고 있으나, **치조골 이식수술이나 임플란트 관련 내용, 판례 내용은 없습니다.**\n- `무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md`\n  - 특약 갱신 관련 안내로 보이며, **치조골 이식수술 판례와는 관련 근거가 없습니다.**\n\n따라서 현재 근거만으로는 요청하신 **치조골 이식수술 보험금 지급 관련 판례**를 보여드릴 수 없습니다.	무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md
2	자살을 하였을 경우, 보험금을 받을 수 있는 경우가 있던데 관련하여 판례가 있나요?	네, 관련 대법원 판례가 있습니다.\n\n- **대법원 2011. 4. 28. 선고 2009다97772 판결**  \n  - `【판시사항】`에 따르면, 사망보험에서 약관상 **자살이 면책사유**로 규정되어 있더라도,  \n    **피보험자가 정신질환 등으로 자유로운 의사결정을 할 수 없는 상태에서 사망에 이른 경우에는 ‘자살’에 해당하지 않아 면책되지 않을 수 있다**고 봅니다.  \n  - 다만, 실제 사건에서는 우울증 진단 등이 있었어도 **자유로운 의사결정을 할 수 없는 상태였다고 보기 어렵다**고 판단하였습니다.\n\n- **대법원 2021. 2. 4. 선고 2017다281367 판결**  \n  - `【판시사항】`에서도 같은 취지로,  \n    **정신질환 등으로 자유로운 의사결정을 할 수 없는 상태에서의 사망은 보험사고에 해당할 수 있다**고 보았습니다.  \n  - 또한 이 판결은 **그 상태였는지 여부의 판단 기준**과 **보험금청구권 소멸시효 기산점**도 함께 다루고 있습니다.  \n  - 제공된 `다. 판단` 부분에서는, 해당 사안에서 원고가 **과실 없이 보험사고 발생을 알 수 없었던 경우로 보기는 어렵다**고 판단했습니다.\n\n정리하면,  \n**자살이라고 해서 항상 보험금이 지급되지 않는 것은 아니고**, 판례상 **정신질환 등으로 인해 자유로운 의사결정을 할 수 없는 상태에서 발생한 사망인지**가 핵심 쟁점입니다. 다만 구체적 사건에서는 그 상태가 인정되지 않아 보험금 청구가 받아들여지지 않은 사례도 있습니다.	021-대법원 2021. 2. 4. 선고 2017다281367 판결.pdf-1.md, 020-대법원 2011. 4. 28. 선고 2009다97772 판결.pdf-1.md, 022-대법원 2023. 5. 18. 선고 2022다238800 판결.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 002-_무_종신보험표준형_20210101_약관.md
3	보험계약을 신청하였는데, 철회하고 싶습니다. 세부 기준을 알려 주세요	보험계약 청약 철회 기준은 문서별로 다음과 같습니다.\n\n### 1. 철회 가능 기간\n- **일반적으로** 계약자는 **청약한 날부터 15일 이내** 청약을 철회할 수 있습니다.  \n  - 근거: `037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md` > `1. 청약철회`\n  - 근거: `025-무배당종신보험표준형_약관_060401.pdf-1.md` > `제2조(청약의 철회)`\n\n- 다만, `025-무배당종신보험표준형_약관_060401.pdf-1.md`에서는  \n  **“청약을 한 날 또는 제1회 보험료를 납입한 날부터 15일 이내”**로 규정되어 있습니다.\n\n- **통신매체(전화·우편·컴퓨터 등)를 통한 보험계약**은  \n  **청약한 날부터 30일 이내** 철회할 수 있습니다.  \n  - 근거: `037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md` > `1. 청약철회`\n\n- **진단계약은 청약철회가 제외**됩니다.  \n  - 근거: `037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md` > `1. 청약철회`\n\n### 2. 철회 신청 방법\n- 계약자는 다음 방식으로 철회할 수 있습니다.\n  - 전화\n  - 서면\n  - 전자우편\n  - 휴대전화 문자메시지\n  - 이에 준하는 전자적 의사표시  \n- 철회의 효력은 **전화 신청 또는 서면 등을 발송한 때** 발생합니다.\n- 서면 등을 발송한 경우에는 **발송 사실을 회사에 지체 없이 알려야 합니다.**  \n  - 근거: `004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md` > `제17조 청약의 철회##`\n\n### 3. 보험료 반환\n- 회사는 **청약철회를 접수한 날부터 3일 이내** 또는 **3영업일 이내** 이미 납입한 보험료를 돌려줍니다.\n  - `037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md`는 **3일 이내**\n  - `004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md`는 **3영업일 이내**\n- 반환이 늦어지면 일부 문서에서는 **보험계약대출이율을 연단위 복리로 계산한 금액을 더해 지급**한다고 되어 있습니다.\n  - 근거: `004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md` > `제17조 청약의 철회##`\n  - 근거: `025-무배당종신보험표준형_약관_060401.pdf-1.md` > `제2조(청약의 철회)`\n\n### 4. 신용카드 납입 시\n- 제1회 보험료를 **신용카드로 납입한 경우**, 회사는\n  - 카드사에 **대금 청구를 하지 않도록 하거나**\n  - **신용카드 매출을 취소**하는 방식으로 처리할 수 있습니다.\n- 이 경우 일부 문서에서는 **보험료를 반환한 것으로 본다**고 규정합니다.  \n  - 근거: `004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md` > `제17조 청약의 철회##`\n  - 근거: `025-무배당종신보험표준형_약관_060401.pdf-1.md` > `제2조(청약의 철회)`\n\n### 5. 유의사항\n- `004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md`에는  \n  **보험금 지급사유가 이미 발생했더라도, 계약자가 그 사실을 알지 못한 경우에는 청약철회의 효력이 유지**된다는 취지의 내용이 포함되어 있습니다.  \n  다만 제공된 문맥이 일부만 있어 전체 조건은 추가 확인이 필요합니다.\n\n질문하신 계약의 **정확한 철회 가능 기간과 예외**는 가입하신 상품 약관에 따라 다를 수 있습니다. 현재 근거상 공통적으로는 **15일 이내**, 통신매체 계약은 **30일 이내**, 그리고 **진단계약 제외** 규정이 확인됩니다.	037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md, 025-무배당종신보험표준형_약관_060401.pdf-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md, 006-300060_고객센터 청약철회 업무처리기준.docx-1.md, 002-_무_종신보험표준형_20210101_약관.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 009-300197_제지급_우편.docx-1.md
4	보험에 가입했는데 언제부터 보장을 받는 건가요?	보험 보장은 **원칙적으로 회사가 청약을 승낙하고 제1회 보험료를 받은 때부터** 시작됩니다.  \n다만 **청약과 함께 제1회 보험료를 먼저 낸 경우에는, 회사의 승낙 전이라도 제1회 보험료를 받은 때부터** 보장이 개시됩니다.\n\n약관상 **보장개시일**은:\n- 계약이 성립되고\n- 제1회 보험료를 받은 날\n\n을 말하며,  \n**청약과 함께 제1회 보험료를 낸 경우에는 그 보험료를 받은 날**을 보장개시일로 봅니다. 또한 **보장개시일을 계약일로 본다**고 되어 있습니다.\n\n근거:\n- `002-_무_종신보험표준형_20210101_약관.md` > `제23조(제1회 보험료 및 회사의 보장개시)`\n- `004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md` > `제23조 제1회 보험료 및 회사의 보장개시##`\n- `032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md` > `[  보장개시일 ]`\n\n참고로 자동이체·신용카드 납입은 **자동이체 신청 또는 카드승인에 필요한 정보를 제공한 때**를 제1회 보험료를 받은 때로 봅니다.	002-_무_종신보험표준형_20210101_약관.md, 004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md
5	2021년 4월 5일에 가입한 종신보험 표준형에 납입한 보험료가 몇 %로 부리되고 있나요?	2021년 4월 5일 가입한 **종신보험 표준형**의 납입보험료 부리이율은 **연복리 1.95%**입니다.\n\n근거:\n- `001-(무)종신보험표준형_20210101_산출방법서.doc-1.md`\n- `1. 적용기초율에 관한 사항 > 1.1. 적용이율()에 관한 사항`\n- 내용: **“연복리 1.95%”**	023-무배당종신보험_사업방법서_060401.doc-1.md, 029-사업방법서__무_신한유니버설종신보험_080312.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 024-무배당종신보험표준형_산출방법서_060401.doc-1.md
6	2010년 가입한 종신보험 표준형 계약에서 사망보장을 못받는 때가 있나요?	STATUS: insufficient\n\n제공된 근거만으로는 **2010년 가입한 종신보험 표준형 계약에서 사망보장을 못 받는 경우**를 구체적으로 확인할 수 없습니다.\n\n근거:\n- **`002-_무_종신보험표준형_20210101_약관.md` / `무배당 종신보험 표준형 약관`**에는 목차상 **`제5조(보험금 등을 지급하지 않는 사유)`**가 있는 것은 보이지만, 해당 조항의 실제 내용은 제공되지 않았습니다.\n- 제공된 다른 문서들(**`011-300227_계약사항 변경 업무기준 요약표.docx-1.md`**)은 **정기특약의 종신보험 전환 기준**에 관한 내용으로, 사망보험금 미지급 사유를 설명하는 자료가 아닙니다.\n\n따라서 현재 context만으로는 답을 확정할 수 없습니다.  \n**해당 2010년 계약의 약관에서 `제5조(보험금 등을 지급하지 않는 사유)` 본문**이 필요합니다.	002-_무_종신보험표준형_20210101_약관.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 012-300233_계약관계자변경.docx-1.md
7	종신보험 표준형에 가입하여 은행에 다니는 직장인인데 보험가입할 때 보니 제가 전문보험계약자라 합니다. 일반계약자가 아니라 전문보험계약자라 하는 근거가 뭔가요?	질문하신 분이 왜 일반보험계약자가 아니라 전문보험계약자로 분류되었는지는, 제공된 근거만 보면 **보험업법상 전문보험계약자 정의 때문**입니다.\n\n근거:\n- **문서명:** `027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md`\n- **위치:** `보험업법 제2조(정의) 19호`\n\n해당 조문에 따르면, **전문보험계약자**는 보험계약에 관한 전문성, 자산규모 등에 비추어 보험계약 내용을 이해하고 이행할 능력이 있는 자로서 다음에 해당하는 자입니다.\n- 국가\n- 한국은행\n- **대통령령으로 정하는 금융기관**\n- 주권상장법인\n- 그 밖에 대통령령으로 정하는 자\n\n그리고 **일반보험계약자**는 전문보험계약자가 아닌 보험계약자라고 되어 있습니다.\n\n따라서, 질문자님이 **은행에 재직 중이라는 사정만으로 자동 분류된 것인지**, 아니면 **대통령령으로 정하는 금융기관 관련 기준 등 다른 사유로 분류된 것인지**는 제공된 자료만으로는 확인되지 않습니다.\n\n즉,\n- **전문보험계약자 분류의 법적 근거**: 보험업법 제2조 제19호\n- **질문자님에게 실제로 어떤 항목이 적용되었는지**: 제공된 context만으로는 부족하여 확인 불가\n\nSTATUS: insufficient	032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md, 002-_무_종신보험표준형_20210101_약관.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md
8	2021년 4월 5일에 가입한 종신보험 표준형 해약환급금이 납입한 보험료보다 적게 나왔습니다. 산출 근거가 무엇인가요?	STATUS: insufficient\n\n제공된 근거만으로는 **2021년 4월 5일 가입한 무배당 종신보험 표준형의 해약환급금이 납입보험료보다 적게 나온 구체적인 산출 근거**를 확인할 수 없습니다.\n\n확인된 내용:\n- **약관 문서**: `002-_무_종신보험표준형_20210101_약관.md` / `무배당 종신보험 표준형 약관`\n  - 목차 일부만 제공되어 있고, 해약환급금 산출 방식이나 예시 수치가 본문에 제시되지 않았습니다.\n- **사업방법서 문서**: `023-무배당종신보험_사업방법서_060401.doc-1.md` / `보험료 할인 > 고액계약`\n  - 주계약 보험가입금액별 **영업보험료 할인율**만 확인됩니다.\n  - 해약환급금이 납입보험료보다 적게 산출되는 계산식이나 기준은 확인되지 않습니다.\n\n따라서, 현재 context만으로는 산출 근거를 설명할 수 없습니다.  \n해약환급금 관련 조항이나 **해약환급금 예시표/산출방법서**가 추가로 필요합니다.	002-_무_종신보험표준형_20210101_약관.md, 023-무배당종신보험_사업방법서_060401.doc-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md
9	어머니께서 2010년에 종신보험 표준형에 가입하셨는데, 치매 검사를 했더니 치매가 약간 있다고 합니다. CDR척도 검사시 2점을 받았습니다. 치매 진단으로 장해보험금을 받을 수 있나요? 얼마를 받나요?	STATUS: insufficient\n\n제공된 근거만 보면, **CDR척도 2점은 ‘약간의 치매’에 해당하고 지급률은 40%**입니다.  \n근거: **별첨2_분류표_20240401_v1.3.pdf.md > 13. 신경계․정신행동 장해 > 가. 장해의 분류**  \n- **10) 약간의 치매 : CDR 척도 2점 | 40**\n\n다만 질문하신 **“2010년에 가입한 종신보험 표준형에서 실제로 장해보험금이 지급되는지”**와 **“얼마를 받는지”**는, 제공된 context에  \n- 해당 **2010년 가입 상품의 약관 적용 여부**  \n- **가입금액(장해보험금 기준 금액)**  \n이 없어서 확인할 수 없습니다.\n\n즉, 현재 근거로 확실히 말할 수 있는 것은:  \n- **CDR 2점 = 약간의 치매 = 지급률 40%**\n\n하지만 **실제 수령 가능 여부**와 **수령액(원 단위 금액)**은 **부족한 정보로 확인 불가**입니다.	판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 별첨2_분류표_20240401_v1.3.pdf.md
10	신한유니버설종신보험 월대체공제 기준은 어떻게 되나요?	STATUS: insufficient\n\n제공된 근거(문서명: `029-사업방법서__무_신한유니버설종신보험_080312.md`)에는 보험기간, 납입기간, 가입나이, 납입주기 정보만 확인되며, **월대체공제 기준**에 대한 내용은 보이지 않습니다.\n\n따라서 현재 context만으로는 **신한유니버설종신보험의 월대체공제 기준**을 확인할 수 없습니다.	029-사업방법서__무_신한유니버설종신보험_080312.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md, 무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md, 002-_무_종신보험표준형_20210101_약관.md, 005-005.약관_신한라이프놀라운종신보험_무배당_ 해약환급금 일부지급형__20240401_v0.5_중복삭제_맞춤형약관제작.md, 004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md
